type,title,start_time,end_time,location,status,is_panel,led_by
Training,Pega Platform Overview,6/2/19 9:00 AM,6/2/19 12:30 PM,Chairman's Ballroom 361,Approved,,Pega
Training,Pega Marketing Overview,6/2/19 9:00 AM,6/2/19 12:30 PM,"Conference Center, Room 351",Approved,,Pega
Training,Pega Exam Test Prep – Business and System Architects,6/2/19 9:00 AM,6/2/19 12:30 PM,"Conference Center, Room 353",Approved,,Pega
Training,Pega Customer Decision Hub Overview,6/2/19 9:00 AM,6/2/19 12:30 PM,"Conference Center, Room 350",Approved,,
Training,Pega Client Lifecycle Management Overview,6/2/19 9:00 AM,6/2/19 12:30 PM,"Conference Center, Room 352",Approved,,Pega
Training,Developing a Minimum Loveable Product (MLP) with App Studio,6/2/19 9:00 AM,6/2/19 12:30 PM,"Conference Center, Room 354",Approved,,Pega
Training,Pega’s Project Methodology,6/2/19 1:30 PM,6/2/19 5:00 PM,"Conference Center, Room 354",Approved,,
Training,Pega Platform Overview,6/2/19 1:30 PM,6/2/19 5:00 PM,Chairman's Ballroom 361,Approved,,Pega
Training,Pega Customer Service Overview,6/2/19 1:30 PM,6/2/19 5:00 PM,"Conference Center, Room 351",Approved,,Pega
Training,Pega Customer Decision Hub Overview,6/2/19 1:30 PM,6/2/19 5:00 PM,"Conference Center, Room 350",Approved,,Pega
Training,Pega Client Lifecycle Management Overview,6/2/19 1:30 PM,6/2/19 5:00 PM,"Conference Center, Room 352",Approved,,Pega
Training,Overview of Using Pega Robotic Automations,6/2/19 1:30 PM,6/2/19 5:00 PM,"Conference Center, Room 353",Approved,,Pega
Training,Partner Exclusive: Best Practices in Front End Development and New Data Visualization Capabilities,6/2/19 2:00 PM,6/2/19 4:00 PM,Chairman's Ballroom 368,Approved,,Pega
Industry Networking Receptions,"Manufacturing, Auto, & High Tech",6/2/19 4:00 PM,6/2/19 5:30 PM,Premier Ballroom 315,Approved,No,
Industry Networking Receptions,Insurance Reception,6/2/19 4:00 PM,6/2/19 5:30 PM,Premier Ballroom 317,Approved,No,
Industry Networking Receptions,Healthcare & Life Sciences Reception,6/2/19 4:00 PM,6/2/19 5:30 PM,Chairman's Ballroom 359,Approved,No,
Industry Networking Receptions,Government Reception,6/2/19 4:00 PM,6/2/19 5:30 PM,Chairman's Ballroom 355,Approved,No,
Industry Networking Receptions,Financial Services Reception,6/2/19 4:00 PM,6/2/19 5:30 PM,Premier Ballroom 316,Approved,No,
